Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-12,27,Jo Tum Mere Ho,Anuv Jain,Hindi Indie,2,26-50,False,1,3,3,52,26.0,1.0,0.5,0.5,False,2026-03-13,27.0,26-50,26-50,0,0
2026-03-12,28,Tere Liye,Atif Aslam,Hindi Film,2,26-50,False,1,3,3,2,23.0,5.0,2.0,3.0,False,2026-03-13,22.0,11-25,11-25,0,0
2026-03-12,29,Tum Ho Toh,Vishal Mishra,Hindi Film,2,26-50,False,1,3,3,2,31.0,-2.0,1.5,-0.5,False,2026-03-13,30.0,26-50,26-50,0,0
2026-03-12,30,Haseen,Talwiinder,Punjabi-Haryanvi Pop,2,26-50,False,1,3,3,2,30.0,0.0,0.5,0.5,False,2026-03-13,31.0,26-50,26-50,0,0
2026-03-12,31,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,2,26-50,False,1,3,3,2,32.0,-1.0,0.5,-0.5,False,2026-03-13,32.0,26-50,26-50,0,0
2026-03-12,32,Darkhaast,Mithoon,Hindi Film,2,26-50,False,1,3,3,2,28.0,4.0,2.0,2.0,False,2026-03-13,29.0,26-50,26-50,0,0
2026-03-12,33,Naal Nachna,Shashwat Sachdev,Hindi Film,2,26-50,False,1,3,3,332,38.0,-5.0,2.0,-3.0,False,2026-03-13,33.0,26-50,26-50,0,0
2026-03-12,34,Lutt Le Gaya,Shashwat Sachdev,Hindi Film,2,26-50,False,1,3,3,266,37.0,-3.0,0.5,-3.5,False,2026-03-13,35.0,26-50,26-50,0,0
2026-03-12,35,Ye Tune Kya Kiya,Pritam,Hindi Film,2,26-50,False,1,3,3,4,33.0,2.0,1.0,1.0,False,2026-03-13,37.0,26-50,26-50,0,0
2026-03-12,36,Ehsaas,Faheem Abdullah,Hindi Indie,2,26-50,False,1,3,3,2,34.0,2.0,2.5,-0.5,False,2026-03-13,39.0,26-50,26-50,0,0
2026-03-12,37,Barbaad,The Rish,Hindi Indie,2,26-50,False,1,3,3,2,35.0,2.0,0.5,1.5,False,2026-03-13,36.0,26-50,26-50,0,0
2026-03-12,38,Mast Magan,Arijit Singh,Hindi Film,2,26-50,False,1,3,3,16,39.0,-1.0,1.0,0.0,False,2026-03-13,34.0,26-50,26-50,0,0
